feature,importance
flux_4571,0.06824093635153966
flux_4829,0.048133906696024874
flux_4229,0.04515653961436357
flux_4486,0.04458026845614851
flux_6800,0.04355334263767208
flux_8171,0.030979406447975078
flux_4314,0.030796485260770938
flux_5171,0.030178908955580907
flux_7657,0.029847575542048005
flux_5343,0.02934742908228595
flux_4057,0.028889973096206032
flux_7486,0.02875661607008612
flux_7057,0.02801017874875869
flux_3886,0.027984556037456046
flux_6629,0.026269343207857718
flux_9029,0.023377592521228306
flux_6200,0.02269751226282368
flux_7143,0.020818828312018586
flux_4143,0.02053386862766497
flux_9200,0.02033193091438611
flux_7571,0.020311348399496935
flux_8686,0.02004515272373906
flux_3800,0.01991332022867237
flux_7743,0.018460104369769838
flux_7400,0.018120693128709734
flux_8086,0.017267257769746427
flux_7829,0.016501344712991733
flux_8600,0.015748821016821016
flux_6457,0.013574707724078539
flux_6714,0.012749217333992363
