feature,importance
flux_8150,0.013639382300986748
flux_8123,0.01221221877478014
flux_7453,0.012195406589905464
flux_7421,0.010452194812879822
flux_7574,0.009342665498004152
flux_8171,0.009261276295254084
flux_7448,0.008242381237875572
flux_7479,0.00796149478271042
flux_7458,0.007889127972681102
flux_7553,0.007520173177792665
flux_4433,0.007384425940325921
flux_8097,0.0073745813217828545
flux_4872,0.007327467903631018
flux_8160,0.00682232607866142
flux_7558,0.006650717125980801
flux_5336,0.0061041310424970255
flux_4618,0.0059027548210013325
flux_4771,0.00588046555684906
flux_4967,0.005741948217868963
flux_5431,0.005702591617614645
flux_4592,0.005682349928018557
flux_8176,0.005636635082839142
flux_4143,0.00560557334079001
flux_6640,0.0055533983237691376
flux_5225,0.005368367973126976
flux_8044,0.0053404884144371565
flux_4660,0.0050780270411386495
flux_8070,0.005072803805445405
flux_4940,0.005021335331904178
flux_4323,0.004869141649012507
