feature,importance
flux_8287,0.012562344153403763
flux_8345,0.010899177385593406
flux_8830,0.009381048021889668
flux_5315,0.009342442023188409
flux_6297,0.009307412225377489
flux_5975,0.009093479337098767
flux_6957,0.008954178176307089
flux_7157,0.008458040624307477
flux_7458,0.008394975539851142
flux_6344,0.008363313201581034
flux_6825,0.008050184673135934
flux_6365,0.00805018467313593
flux_9005,0.007855926528199029
flux_6967,0.007826377991725822
flux_6492,0.0074511255223674985
flux_6043,0.007201861405678751
flux_6175,0.00699268940055911
flux_6302,0.006766925526531517
flux_6101,0.00671571769792008
flux_5906,0.006666666666666669
flux_7411,0.005891341810792644
flux_5648,0.005847947489881022
flux_5230,0.005633000786345698
flux_7611,0.005471165958238986
flux_4803,0.005447695339222367
flux_9042,0.005349340207207544
flux_4967,0.005
flux_7653,0.004977926779403461
flux_5838,0.004890490086903938
flux_6244,0.004856119453505222
