feature,importance
flux_5104,0.0183014066513861
flux_7564,0.011639053418340603
flux_5574,0.009673859067443445
flux_5157,0.009267961123729159
flux_5067,0.008869991483016397
flux_7421,0.00849753270077192
flux_7696,0.007846078264652999
flux_8498,0.007682796961129998
flux_5299,0.007119725437953757
flux_5035,0.006777627799205124
flux_7616,0.0065920520059132345
flux_7674,0.0063584357010636585
flux_7727,0.006282216198737752
flux_5135,0.00609484682972804
flux_4887,0.005757825290293822
flux_5896,0.005584238179016865
flux_8271,0.005559568343020891
flux_6075,0.005469640162339144
flux_8762,0.0053697327129230785
flux_5072,0.005243315185080121
flux_7975,0.005242472358262962
flux_5431,0.0052362607740558875
flux_5241,0.005180741686781632
flux_7717,0.005157266000508123
flux_5009,0.005093582307628476
flux_8350,0.004959227794478779
flux_5848,0.0048792295702633545
flux_7912,0.004865857567493522
flux_8091,0.004865270532512536
flux_5642,0.004773010251562005
