feature,importance
flux_7506,0.009927626640102443
flux_5294,0.008685316511473237
flux_4396,0.00864454205166855
flux_4407,0.008300305504884363
flux_4275,0.008170988121708056
flux_3927,0.00787302138740709
flux_4307,0.007321196784489883
flux_3932,0.006889016617319256
flux_4286,0.006684898673380992
flux_7516,0.006330555750479848
flux_9200,0.006113807381409141
flux_8012,0.005467497238693151
flux_5172,0.00543926590223525
flux_8202,0.005426429728177462
flux_7960,0.00531020852061701
flux_4212,0.005285375217863276
flux_5236,0.005253348206820389
flux_4238,0.005220089280706799
flux_7944,0.005162592604690608
flux_4312,0.005073834202591943
flux_7484,0.00492888353327329
flux_6513,0.004845816456279416
flux_6281,0.004837292631875478
flux_6566,0.0047971007863485005
flux_7416,0.0047534898618345625
flux_5204,0.004633618125722436
flux_8487,0.00434184832748609
flux_5194,0.0042823645298973026
flux_5510,0.004221035949374023
flux_8577,0.004120382137697503
