feature,importance
flux_6418,0.010317830860202507
flux_4386,0.008402277726420083
flux_4249,0.008078593910772053
flux_4185,0.007631197749224561
flux_3826,0.007566868869775673
flux_4307,0.007260755609415852
flux_5267,0.007192022919984663
flux_4312,0.007090984642456321
flux_3874,0.006647737977922107
flux_3832,0.006594067525995233
flux_6534,0.0064600578643762676
flux_6740,0.006214337819137522
flux_4228,0.006101301998799737
flux_6830,0.005460947773940783
flux_7331,0.005213278318864215
flux_4196,0.005168125552043724
flux_4006,0.0051368564095599124
flux_4301,0.005057184209852178
flux_5526,0.005055116660676638
flux_3948,0.00480171150449503
flux_3927,0.004788522840451288
flux_8999,0.00460596095125289
flux_4813,0.004578404777189643
flux_7078,0.004541662709692244
flux_3816,0.004421520102267678
flux_6307,0.0043782722533151144
flux_3974,0.0043618583431267125
flux_4138,0.004327982207783488
flux_5336,0.004314692372557337
flux_6281,0.0041201521688854536
