feature,importance
flux_9029,0.0625
flux_5429,0.0625
flux_7400,0.05208333333333333
flux_5857,0.04166666666666667
flux_6886,0.04166666666666666
flux_6286,0.03125000000000003
flux_4571,0.03125000000000003
flux_6543,0.03125000000000003
flux_5514,0.03125000000000001
flux_7571,0.031249999999999997
flux_4657,0.031249999999999997
flux_8171,0.031249999999999997
flux_6800,0.031249999999999993
flux_7229,0.031249999999999986
flux_6457,0.031249999999999983
flux_6629,0.03124999999999998
flux_8514,0.025000000000000012
flux_7743,0.025000000000000005
flux_7829,0.025
flux_9200,0.02499999999999999
flux_8686,0.024999999999999977
flux_4229,0.020833333333333343
flux_7657,0.020833333333333343
flux_8600,0.02083333333333334
flux_7314,0.02083333333333334
flux_6714,0.020833333333333336
flux_4057,0.020833333333333336
flux_6971,0.020833333333333332
flux_4486,0.020833333333333332
flux_4314,0.020833333333333332
