feature,importance
flux_4229,0.09759310504111283
flux_8086,0.09529061624649858
flux_6714,0.059551886792452824
flux_5171,0.05681818181818183
flux_6800,0.0553385416666667
flux_6114,0.053430334641602954
flux_4571,0.042293171654626746
flux_6200,0.04166666666666667
flux_4657,0.04166666666666666
flux_9029,0.03923739795904754
flux_7057,0.0330128205128205
flux_5429,0.03283651525839028
flux_5600,0.031249999999999997
flux_4486,0.031249999999999997
flux_7314,0.031249999999999986
flux_7829,0.029143772893772887
flux_3886,0.02778036947191639
flux_5943,0.025502461033634117
flux_4743,0.023942403850160443
flux_6971,0.023618477578401242
flux_7571,0.02166696146639939
flux_8343,0.018281250000000006
flux_7229,0.014320785597381371
flux_6029,0.013392857142857133
flux_8600,0.012820512820512841
flux_8771,0.012499999999999997
flux_7657,0.011718750000000014
flux_7914,0.009615384615384616
flux_5771,0.006944444444444472
flux_4400,0.0032894736842105222
