feature,importance
flux_6028,0.007569467521172142
flux_5801,0.00694213026366136
flux_5067,0.00692533113015163
flux_5758,0.00682323303255912
flux_5209,0.00677337766684737
flux_5294,0.006197840826340236
flux_5120,0.006134419434534278
flux_6244,0.006082332835559946
flux_5157,0.0060010295767601585
flux_5072,0.0059881951361702625
flux_5310,0.005931670851955915
flux_6212,0.005729802446846844
flux_5135,0.005639712436377091
flux_6080,0.005639265187040208
flux_5811,0.005309658784859371
flux_5162,0.005251153880943391
flux_5505,0.00515090771367929
flux_5679,0.0049642444000448085
flux_5885,0.00494136633148439
flux_5473,0.004929102159905798
flux_5721,0.004869628165683878
flux_6270,0.004775206940546278
flux_5204,0.004774522891989913
flux_5062,0.0045923317445316315
flux_5104,0.004551223630483354
flux_6276,0.004515110873900894
flux_5262,0.004449345445780084
flux_6065,0.004413669636666636
flux_5077,0.004364107439235899
flux_6228,0.004347835467847529
