feature,importance
flux_4307,0.015482961709765757
flux_4386,0.00842198947590768
flux_3943,0.007958868244626173
flux_4228,0.007550286614549335
flux_4275,0.007537484422204293
flux_4249,0.007253790660187397
flux_3927,0.007229057235480932
flux_3932,0.006869557895298065
flux_4312,0.006731817166343446
flux_4291,0.006459270913422229
flux_4206,0.006173416033300137
flux_3937,0.005808374211092162
flux_4191,0.0057806080108672156
flux_3906,0.005745174982651639
flux_3969,0.005385779951273944
flux_4238,0.005378126129852223
flux_5172,0.005324707225524762
flux_4338,0.005264900791521807
flux_5130,0.00523304436005947
flux_4196,0.004668300261311653
flux_4101,0.004632057600700484
flux_4381,0.004619848397547758
flux_4296,0.004557829827490119
flux_4286,0.004477373137613363
flux_4301,0.004427092689600722
flux_3921,0.004327121347974707
flux_4703,0.004247097437623618
flux_4059,0.004114530841236451
flux_3837,0.004075479866425388
flux_4201,0.0040709785116470635
