feature,importance
flux_8165,0.012096273397341355
flux_9068,0.011469200247454236
flux_9195,0.011269962801080474
flux_8250,0.010321023708477161
flux_8118,0.010040483025566305
flux_9189,0.009878061986497613
flux_9168,0.00969139954834984
flux_9142,0.009037507086311968
flux_8113,0.007888858879250192
flux_9184,0.007849753216493892
flux_9158,0.007301048300466875
flux_8150,0.0072240067841320595
flux_8171,0.0071472488435064
flux_9121,0.006943946633782589
flux_8155,0.006842299531637393
flux_8176,0.00658957403818783
flux_9147,0.006370727953945845
flux_9100,0.006317670028964603
flux_8820,0.006006892960430451
flux_7585,0.005948824736690133
flux_9131,0.005504826622784613
flux_8128,0.005500601911193737
flux_8857,0.0054532039315311745
flux_8223,0.005380207053541321
flux_7553,0.005310464462172063
flux_9152,0.005309611629517271
flux_9021,0.005278493291700847
flux_9137,0.005250339959512225
flux_9200,0.0052307570193930245
flux_8139,0.005138226386832648
