feature,importance
flux_6877,0.009285361344145216
flux_6154,0.008647479178234593
flux_3821,0.007256721487533806
flux_4191,0.006851178642328969
flux_6893,0.006703509190940132
flux_7965,0.006655342085753993
flux_4016,0.0062533414640430175
flux_7764,0.006095942449683716
flux_7184,0.006040958754126995
flux_8377,0.005896231477170244
flux_7231,0.005653046838911704
flux_3921,0.005651993226211854
flux_7806,0.005582263972889385
flux_7168,0.00548273239684734
flux_6840,0.005244852364995963
flux_6851,0.005234112613511215
flux_9179,0.004618200359196586
flux_4101,0.004352801980048411
flux_3863,0.004333829207577885
flux_8060,0.0041508912259348016
flux_9047,0.004136985268361115
flux_4323,0.004104888194161794
flux_7215,0.004051696554747118
flux_8260,0.0040018840533127716
flux_7162,0.0038124733207469614
flux_6830,0.0037482962204972996
flux_8361,0.003713149577177499
flux_8171,0.003637287576617135
flux_9089,0.0036343107916912685
flux_8604,0.0035788705201344004
