model,parent_accuracy,leaf_accuracy,macro_f1,weighted_f1,hierarchical_loss,hierarchical_distance,cross_parent_errors,same_parent_errors
hierarchical_random_forest,0.7925675675675675,0.5675675675675675,0.19987659449586856,0.5070498825709201,1.2428032342357955,1.258108108108108,307,333
flat_random_forest,0.7885135135135135,0.5581081081081081,0.19751675615383646,0.4965808853950766,1.2774181252712353,1.2851351351351352,313,341
