feature,importance
flux_6038,0.006063793531976833
flux_4956,0.00563794183032878
flux_3995,0.005389192793521098
flux_4233,0.0049718540245409565
flux_4740,0.004220213158629307
flux_6154,0.004182979468277045
flux_4961,0.0040566867717862585
flux_5114,0.003969486675085402
flux_4576,0.0038358667928208336
flux_6914,0.0036885913919933954
flux_4206,0.003641071494048931
flux_6825,0.003453540545388255
flux_3848,0.00340900276053414
flux_7157,0.003128475130349104
flux_7590,0.0030540265591282273
flux_7960,0.0030193987324729213
flux_4038,0.002961872949115616
flux_6972,0.00289507239231956
flux_7917,0.002835208474076777
flux_8398,0.002789627552394814
flux_5030,0.002764212561967339
flux_7321,0.0027340756461546097
flux_8830,0.0026881128417712255
flux_5299,0.0026516608696512695
flux_4861,0.00260685767034657
flux_5769,0.0025820622668139876
flux_7009,0.002576846891489326
flux_5178,0.002537835127717992
flux_3884,0.0025183714195571756
flux_3853,0.0025139549920063383
