feature,importance
flux_4301,0.012564478584557715
flux_4312,0.011690669412974293
flux_4307,0.009593175499250631
flux_4275,0.008942787123906386
flux_4386,0.00868790433049304
flux_3943,0.008653847486835484
flux_4228,0.007836846110585362
flux_8999,0.0066313907295251565
flux_3927,0.006599560623207614
flux_3921,0.006560075122605984
flux_4291,0.006176304724768824
flux_3821,0.005972380068316407
flux_3932,0.005942112112423563
flux_3964,0.0059329714222132336
flux_5172,0.0054839986555259325
flux_3826,0.005412633254222938
flux_3858,0.005094551187080036
flux_3948,0.00477706652111519
flux_3800,0.004441132859891092
flux_3874,0.004357557494116588
flux_4407,0.004304592162237066
flux_4296,0.00405457568624891
flux_3969,0.0038275582934264437
flux_3906,0.0037646467448660247
flux_4032,0.003632680516659814
flux_8545,0.00358804430979708
flux_3816,0.0034200895847124133
flux_3832,0.003359611409937706
flux_9152,0.0032515614811362585
flux_9174,0.0030705545848016373
