,A,B,CARBON,CV,F,G,K,L,M,O,OB,T,WD
A,181,0,0,0,40,0,0,0,0,0,0,0,2
B,11,1,0,0,5,0,0,0,0,0,0,0,0
CARBON,0,0,0,0,1,0,0,0,1,0,0,0,0
CV,5,0,0,0,2,0,0,0,0,0,0,0,0
F,41,0,0,0,416,9,11,0,0,0,0,0,0
G,3,0,0,0,90,30,15,0,0,0,0,0,1
K,1,0,0,0,24,4,292,0,6,0,0,0,0
L,0,0,0,0,2,0,2,1,2,0,0,0,1
M,0,0,0,0,1,0,6,0,235,0,0,1,0
O,1,0,0,0,1,0,0,0,0,0,0,0,0
OB,3,0,0,0,0,0,0,0,0,0,0,0,0
T,0,0,0,0,0,0,0,0,2,0,0,1,0
WD,11,0,0,0,0,0,2,0,0,0,0,0,16
