feature,importance
flux_7648,0.013371796862682795
flux_4766,0.009537994036987978
flux_5019,0.006020446884140195
flux_4639,0.005244919055961014
flux_8999,0.005107177696383474
flux_4550,0.004749278230302248
flux_4650,0.004482813583074885
flux_4497,0.004394641198565471
flux_4433,0.004346899109455244
flux_5389,0.004263586616088192
flux_5209,0.004067717686620589
flux_4872,0.003980478973466631
flux_4993,0.003945976895566227
flux_7653,0.003911556944835826
flux_7770,0.0038505528800441926
flux_8234,0.003692325184751467
flux_5014,0.0036612581720004865
flux_4491,0.0035146413514666806
flux_7791,0.0033356950252123913
flux_4924,0.0033253516141888914
flux_4581,0.0032929706431140946
flux_4682,0.0032602580503304033
flux_4449,0.003239947772046176
flux_4460,0.0031993558497056176
flux_4602,0.0031751567675506296
flux_3995,0.003139183767483152
flux_4470,0.003128682223777479
flux_4228,0.0031175268948230835
flux_5874,0.0029277988904490484
flux_6571,0.0029259356342261522
