feature,importance
flux_5171,0.037245430024363084
flux_6629,0.03683822832665749
flux_8600,0.03430565961658871
flux_8514,0.031963292547274764
flux_4143,0.03163177339901476
flux_4229,0.03098729614735872
flux_5600,0.029073537684026513
flux_4571,0.028074509181611876
flux_4914,0.02770267669202051
flux_4743,0.026526921388260825
flux_7743,0.02551788732539084
flux_6886,0.0253557059593738
flux_7229,0.02322100453893932
flux_8171,0.022830179080179085
flux_6800,0.022526283486796583
flux_6714,0.022501838066354203
flux_4829,0.022178890713373492
flux_4486,0.022072211153199323
flux_4057,0.021984042554220696
flux_4314,0.02073254276499195
flux_5343,0.019212940949030897
flux_5000,0.019172156981081455
flux_5086,0.019145217844273227
flux_8686,0.01871344586376582
flux_6029,0.01866174545701963
flux_7143,0.018022486772486766
flux_3800,0.017559698527743625
flux_7571,0.016379001433349284
flux_8343,0.015430852351850391
flux_8771,0.014728737510995574
